position_group,cluster_id,n_players,feature,mean_z,median_z,mean_raw
MID,0,224,takeons_won_p90,-0.5055866461650218,-0.58650909013508,0.5518249247289286
MID,0,224,touches_att_third_p90,-0.8511253592039648,-0.9011363068887747,10.212878241092438
MID,0,224,prog_passes_received_p90,-0.8669254890417942,-0.9033635392487651,1.4666736814922388
MID,0,224,shots_p90,-0.6945051282101377,-0.7046281087005777,0.7973507503251304
MID,0,224,npxg_p90,-0.6367907212967694,-0.7437588759042699,0.056123911618514696
MID,0,224,fouls_drawn_p90,-0.21291308811521295,-0.38528221692857056,1.1707669172754183
MID,1,142,tackles_p90,-0.4827275221013877,-0.5172907995653697,1.5949219508323023
MID,1,142,interceptions_p90,-0.5711257897598203,-0.6537760159876441,0.6004201357365074
MID,1,142,recoveries_p90,-0.7275205398073997,-0.7190974443030873,3.8644403046684896
MID,1,142,fouls_committed_p90,-0.07780900077548651,-0.25120685922460645,1.3212665863803639
MID,1,142,passes_attempted_p90,-0.9614240985153001,-0.9364801004239508,33.32674131221086
MID,1,142,pass_completion_pct,-0.7680850050434052,-0.7636448501732933,75.52084629985231
MID,1,142,prog_passes_p90,-0.7904667245554525,-0.7776232203319203,3.131660250643845
MID,1,142,prog_pass_share,0.0340248715435706,0.0367061985654454,12.47142439354612
MID,1,142,key_passes_p90,-0.0895814454807467,-0.15481279812527093,1.083783397232128
MID,1,142,prog_carries_p90,0.20054168870251649,0.2198223204014938,1.794983522323067
MID,1,142,takeons_won_p90,0.15542211735597192,0.03678152274628225,0.9110659298492166
MID,1,142,touches_att_third_p90,0.03091819733196152,0.08873170486250195,16.191808838455536
MID,1,142,prog_passes_received_p90,0.6221502788884942,0.6494086035426869,4.580876478596569
MID,1,142,shots_p90,0.27600669970935915,0.1575646412383615,1.4951859284978173
MID,1,142,npxg_p90,0.31038859395591945,0.0491821489445701,0.13976666910362143
MID,1,142,fouls_drawn_p90,0.008108102376654635,-0.11938437570561745,1.3179699780448542
MID,2,137,tackles_p90,0.15503046896104766,-0.0270283699792437,2.0741940401789947
MID,2,137,interceptions_p90,-0.025383395403260275,-0.0988427029542455,0.8462285718266978
MID,2,137,recoveries_p90,0.7636922176509886,0.6459068392608867,5.539917219558446
MID,2,137,fouls_committed_p90,-0.16901800613633636,-0.3132139461540772,1.270238130496247
MID,2,137,passes_attempted_p90,1.046079392828432,1.0437063361718084,61.94613405605957
MID,2,137,pass_completion_pct,0.5618986471375125,0.6402298838305829,84.29747540062532
MID,2,137,prog_passes_p90,1.1147557365953176,1.0109040630763195,6.510029976544354
MID,2,137,prog_pass_share,0.1325819090704883,0.0346061036423577,12.783172162794203
MID,2,137,key_passes_p90,0.44113889556359065,0.3825450800360651,1.4145033391532067
MID,2,137,prog_carries_p90,0.15231332934297623,0.1024141627928,1.7052834865876307
MID,2,137,takeons_won_p90,-0.12342029953877548,-0.1358866173583486,0.7453888434149089
MID,2,137,touches_att_third_p90,0.3346408416792044,0.1749410132872444,18.250592214790757
MID,2,137,prog_passes_received_p90,-0.16114104480843058,-0.1508318025617516,2.6585688440617754
MID,2,137,shots_p90,-0.18920239668023164,-0.2401308219576686,1.160682769105603
MID,2,137,npxg_p90,-0.29361450611923406,-0.3764863953372261,0.08569510418147562
MID,2,137,fouls_drawn_p90,-0.028722192848925163,-0.2281639901185087,1.2934405101952693
MID,3,101,tackles_p90,-0.7742079661962465,-0.8336018110735467,1.3758757869225058
MID,3,101,interceptions_p90,-0.7940011041640306,-0.89215631107407,0.5000346186073125
MID,3,101,recoveries_p90,-0.43157098963181245,-0.4247066796212898,4.196959347850763
MID,3,101,fouls_committed_p90,-0.45088743827007804,-0.5711573727915596,1.112541400597561
MID,3,101,passes_attempted_p90,-0.1325165831336635,-0.1159839931031415,43.33412795822106
MID,3,101,pass_completion_pct,-0.5748887567164462,-0.432598709898466,76.7957580722234
MID,3,101,prog_passes_p90,0.28851868437822625,0.1362449449347041,5.0449337473399645
MID,3,101,prog_pass_share,0.9066582954982738,0.9360178342295364,15.23166891910722
MID,3,101,key_passes_p90,1.2034992880209947,1.1667445968458896,1.8895704606061237
MID,3,101,prog_carries_p90,1.2477764444787716,1.13630893321078,3.100813593177602
MID,3,101,takeons_won_p90,1.0701985060715762,1.174767491644396,1.4790861133269297
MID,3,101,touches_att_third_p90,1.3902564468366199,1.279282828374624,25.40608061891988
MID,3,101,prog_passes_received_p90,1.2665573572470386,1.2415548653189676,6.780403432356434
MID,3,101,shots_p90,1.4088804525300362,1.2711477292589026,2.3097655496875076
MID,3,101,npxg_p90,1.3741695897729789,1.155650412495915,0.24114314406218992
MID,3,101,fouls_drawn_p90,0.4997635804022328,0.3896056030135889,1.6454190839353964
FWD,0,132,goals_p90,-0.06383078492393716,0.017144117945722,0.29353749542409474
FWD,0,132,assists_p90,-0.5604142438124632,-0.5574307658278248,0.0798134051602915
FWD,0,132,npxg_p90,0.046291834246413525,0.0785758174119025,0.2949513012821654
FWD,0,132,shots_p90,-0.20042070326359981,-0.19072992284189622,2.189970912145296
FWD,0,132,shot_accuracy_pct,-0.15303930647020075,-0.07699888040439215,36.63388364804248
FWD,0,132,npxg_per_shot,0.28878330575876415,0.2179967267789862,0.13407571128892432
FWD,0,132,xag_p90,-0.7602347947553006,-0.7846985871937888,0.08214372986668839
FWD,0,132,key_passes_p90,-0.7656087361451226,-0.8292025547592528,0.795012077485128
