player_id,player,squad,squads,league,leagues,season,nation,born,age,pos_raw,pos_group,pos_secondary,n_teams,nineties,matches,starts,minutes,goals,assists,goals_p90,np_goals_p90,npxg_p90,assists_p90,xag_p90,shots_p90,shots_on_target_p90,key_passes_p90,sca_p90,gca_p90,passes_attempted_p90,passes_final_third_p90,passes_penalty_area_p90,prog_passes_p90,prog_passes_received_p90,pass_prog_dist_p90,through_balls_p90,switches_p90,crosses_p90,crosses_penalty_area_p90,touches_p90,touches_att_third_p90,touches_att_pen_p90,carries_p90,prog_carries_p90,carries_final_third_p90,carries_penalty_area_p90,takeons_attempted_p90,takeons_won_p90,dispossessed_p90,miscontrols_p90,tackles_p90,tackles_won_p90,interceptions_p90,blocks_p90,clearances_p90,recoveries_p90,aerials_won_p90,fouls_committed_p90,fouls_drawn_p90,gk_def_actions_outside_pen_p90,pass_completion_pct,takeon_success_pct,shot_accuracy_pct,tackle_success_pct,aerial_win_pct,challenge_success_pct,high_tackle_share,prog_pass_share,prog_carry_share,npxg_per_shot,gk_save_pct,gk_cross_stop_pct
315,Kaoru Mitoma,Brighton,Brighton,Premier League,Premier League,2024-2025,JPN,1997.0,27.0,"FW,MF",FWD,MID,1,28.92222222222222,36,28,2603,10,4,0.3457548981943911,0.3457548981943911,0.3180945063388398,0.13830195927775643,0.1590472531694199,1.9708029197080292,0.933538225124856,1.279293123319247,3.0080676142912024,0.3457548981943911,34.16058394160584,1.244717633499808,1.244717633499808,3.077218593930081,10.061467537456782,76.96504033807146,0.311179408374952,0.03457548981943911,2.593161736457933,0.27660391855551286,47.541298501728775,27.038033038801384,5.6703803303880145,28.69765655013446,5.04802151363811,2.8351901651940072,1.9362274298885902,4.529389166346523,1.7979254706108339,0.7952362658470995,1.8325009604302729,1.55589704187476,0.933538225124856,0.48405685747214755,1.6596235113330773,0.3457548981943911,3.422973492124472,0.8989627353054169,1.3830195927775644,0.8298117556665386,,75.77896478708823,39.775334380503594,45.97516210928025,60.147512434979575,47.9885247002381,38.954543098533144,66.85409244567877,11.894215078945413,17.510587407483253,0.15602108633430894,,
316,Alessandro Bianco,Monza,Monza / Fiorentina,Serie A,Serie A,2024-2025,ITA,2002.0,21.0,MF,MID,,2,29.08888888888889,35,29,2618,1,0,0.03437738731856379,0.03437738731856379,0.044690603514132926,0.0,0.04125286478227655,0.8938120702826585,0.20626432391138275,0.6187929717341482,1.306340718105424,0.0,52.83804430863255,4.81283422459893,0.5500381970970206,4.297173414820474,0.8594346829640948,221.9404125286478,0.13750954927425516,0.48128342245989303,0.7906799083269671,0.10313216195569137,62.97937356760886,8.491214667685256,0.48128342245989303,41.04660045836516,1.2032085561497325,1.1000763941940412,0.13750954927425516,1.4094728800611154,0.5844155844155844,0.825057295645531,1.4094728800611154,1.7532467532467533,0.9625668449197861,0.7563025210084033,1.3750954927425516,1.8220015278838808,4.297173414820474,0.5500381970970206,1.478227654698243,1.8907563025210083,,86.05093220971511,42.117493422442436,25.2867546125032,55.50949028810782,38.32837731695807,61.176582038651006,50.90170319628186,9.469092546914831,2.9501603752878167,0.060439690405838235,,
317,Alexis Mac Allister,Liverpool,Liverpool,Premier League,Premier League,2024-2025,ARG,1998.0,25.0,MF,MID,,1,28.877777777777776,35,30,2599,5,5,0.17314351673720663,0.17314351673720663,0.09696036937283571,0.17314351673720663,0.16275490573297424,1.3158907272027704,0.4501731435167372,1.5582916506348596,4.155444401692959,0.5194305502116199,52.77414390150058,4.224701808387842,1.2120046171604464,6.129280492497115,2.770296267795306,199.04578684109273,0.20777222008464796,0.10388611004232398,2.978068487879954,0.06925740669488265,64.40938822624086,22.058484032320123,2.0777222008464795,31.65063485956137,1.2466333205078877,1.489034243939977,0.17314351673720663,1.4544055405925356,0.5540592535590612,0.7618314736437092,1.073489803770681,3.2897268180069257,2.008464794151597,0.7618314736437092,2.112350904193921,1.0042323970757985,5.125048095421316,0.6579453636013852,2.146979607541362,1.385148133897653,,83.52072498593826,39.38446470278008,33.548399292710734,60.819799119757874,37.614799605011676,52.466511105349575,69.57146566641136,13.891114859733023,3.9523734760243845,0.07657976780437868,,
318,Serhou Guirassy,Dortmund,Dortmund,Bundesliga,Bundesliga,2024-2025,GUI,1996.0,28.0,FW,FWD,,1,28.866666666666667,30,29,2598,21,4,0.7274826789838337,0.6235565819861432,0.6789838337182449,0.13856812933025403,0.13510392609699767,2.979214780600462,1.1431870669745958,0.8660508083140878,1.836027713625866,0.3464203233256351,21.720554272517322,0.9699769053117783,0.48498845265588914,1.489607390300231,4.434180138568129,32.32101616628175,0.3117782909930716,0.10392609699769052,0.03464203233256351,0.0,33.429561200923786,14.203233256351039,5.542725173210162,18.290993071593533,0.8660508083140878,0.7621247113163973,0.4157043879907621,1.3510392609699768,0.3810623556581986,1.0392609699769053,2.6327944572748265,0.24249422632794457,0.20785219399538105,0.13856812933025403,0.3464203233256351,1.3163972286374133,1.5588914549653579,3.7759815242494223,0.5542725173210161,1.836027713625866,,72.72748329280068,30.782084645938912,38.33683188876851,71.06548140728684,52.42257896349537,39.88786952089704,69.23382850072545,9.50152198480594,4.849244279341886,0.2172230498374865,,
319,Ollie Watkins,Aston Villa,Aston Villa,Premier League,Premier League,2024-2025,ENG,1995.0,28.0,FW,FWD,,1,28.866666666666667,38,31,2598,16,8,0.5542725173210161,0.48498845265588914,0.4780600461893765,0.27713625866050806,0.11431870669745958,2.840646651270208,1.2471131639722863,0.8314087759815242,1.836027713625866,0.4157043879907621,14.688221709006928,0.4157043879907621,0.4503464203233256,1.073903002309469,5.715935334872979,22.725173210161664,0.03464203233256351,0.03464203233256351,0.24249422632794457,0.0,24.07621247113164,14.099307159353348,5.819861431870669,14.168591224018476,1.905311778290993,0.7274826789838337,1.3163972286374133,1.420323325635104,0.3464203233256351,1.7321016166281755,2.0785219399538106,0.3464203233256351,0.24249422632794457,0.27713625866050806,0.3810623556581986,0.5196304849884527,1.489607390300231,1.8013856812933025,1.0046189376443417,1.1431870669745958,,72.41337985602311,27.61415975786288,43.26452023175844,65.40565919619381,42.28027861740602,33.253240133974074,83.84875422561663,10.182048091228921,13.386380482782661,0.1636240520043337,,
320,Matheus Cunha,Wolves,Wolves,Premier League,Premier League,2024-2025,BRA,1999.0,25.0,"MF,FW",MID,FWD,1,28.855555555555554,33,29,2597,15,6,0.5198305737389296,0.5198305737389296,0.2980361956103196,0.20793222949557183,0.26684636118598387,3.8120908740854835,1.5248363496341935,1.940700808625337,4.57450904890258,0.5544859453215248,39.26453600308048,3.188294185598768,2.0100115517905275,4.9903735078937235,5.579514824797844,151.9291490180978,0.48517520215633425,0.5198305737389296,4.921062764728533,0.346553715825953,54.09703504043127,25.40238737004236,4.609164420485175,31.328455910666154,3.881401617250674,3.292260300346554,1.4208702348864075,4.747785906815556,2.1139776665383136,1.9060454370427418,2.772429726607624,1.3169041201386216,0.7624181748170967,0.5891413169041202,0.7277628032345014,0.797073546399692,4.331921447824413,0.45051983057373896,1.4555256064690028,2.4605313823642665,,71.67173414560742,44.544164384656895,39.252693050417626,58.043310574470354,34.03331490607184,36.35065848999698,56.354247811941526,17.68855099273748,12.310714542501676,0.07896524045508481,,
321,Alex Baena,Villarreal,Villarreal,La Liga,La Liga,2024-2025,ESP,2001.0,23.0,"MF,FW",MID,FWD,1,28.833333333333332,32,30,2595,7,9,0.24277456647398846,0.24277456647398846,0.2184971098265896,0.31213872832369943,0.40578034682080927,2.393063583815029,0.5895953757225434,3.294797687861272,5.8612716763005785,0.7283236994219654,44.63583815028902,3.294797687861272,2.4971098265895955,6.5549132947976885,5.341040462427746,228.1734104046243,0.7630057803468209,0.6936416184971098,7.179190751445087,0.6589595375722543,54.41618497109827,26.427745664739884,3.086705202312139,31.040462427745666,3.15606936416185,3.2254335260115607,0.5202312138728324,1.9421965317919077,0.7283236994219654,1.1098265895953758,1.4566473988439308,0.9710982658959538,0.5202312138728324,0.7630057803468209,1.0057803468208093,0.7630057803468209,4.855491329479769,0.5549132947976879,1.4913294797687862,1.630057803468208,,66.7083979401922,38.60594188703885,25.447128684178672,54.89681335722572,45.99405278034968,30.228209510405147,73.81589197297878,21.940369509847137,10.112699549001693,0.09083327664063515,,
322,Valentin Rosier,Leganés,Leganés,La Liga,La Liga,2024-2025,FRA,1996.0,27.0,DF,DEF,,1,28.833333333333332,32,28,2595,1,2,0.034682080924855495,0.034682080924855495,0.031213872832369944,0.06936416184971099,0.03815028901734104,0.4855491329479769,0.13872832369942198,0.38150289017341044,1.2138728323699421,0.20809248554913296,41.82658959537572,2.4971098265895955,0.5895953757225434,2.5664739884393066,3.086705202312139,195.8150289017341,0.0,0.06936416184971099,1.3526011560693643,0.13872832369942198,56.01156069364162,10.335260115606937,0.9710982658959538,25.8728323699422,1.4219653179190752,1.0751445086705202,0.24277456647398846,1.560693641618497,0.7976878612716763,0.7283236994219654,1.0751445086705202,2.4971098265895955,1.8034682080924855,1.8034682080924855,1.3872832369942196,5.167630057803469,4.196531791907515,0.9017341040462428,1.5260115606936417,0.6242774566473989,,79.3070330944715,50.18855669893848,28.31520255780403,70.95904977332451,59.72269370292687,62.84815631384131,34.405412770433664,7.7426530846033526,5.47184190886892,0.07202645533590674,,
323,Neco Williams,Nott'ham Forest,Nott'ham Forest,Premier League,Premier League,2024-2025,WAL,2001.0,23.0,DF,DEF,,1,28.822222222222223,35,28,2594,1,3,0.03469545104086353,0.03469545104086353,0.07979953739398611,0.1040863531225906,0.055512721665381654,1.2837316885119505,0.24286815728604472,0.6245181187355435,1.76946800308404,0.2081727062451812,38.7201233616037,2.3939861218195837,0.7632999228989976,3.0878951426368544,3.573631457208944,173.85890516576714,0.03469545104086353,0.13878180416345412,2.047031611410948,0.3469545104086353,54.29838087895143,15.71703932151118,1.561295296838859,22.552043176561295,2.3592906707787202,0.9714726291441789,0.5551272166538165,1.5959907478797224,0.6245181187355435,0.7286044718581342,1.249036237471087,3.122590593677718,1.9776407093292212,1.0755589822667695,1.4572089437162683,4.753276792598304,3.8164996144949885,1.3878180416345411,0.8326908249807248,1.4919043947571318,,75.61043716063708,40.36376104360029,20.841805561431844,63.1864208141261,57.066284578189055,61.480793671662724,31.212438471755604,10.526849800383163,10.358655277431671,0.06656670059705876,,
324,Liam Delap,Ipswich Town,Ipswich Town,Premier League,Premier League,2024-2025,ENG,2003.0,21.0,FW,FWD,,1,28.81111111111111,37,32,2593,12,2,0.4165059776320864,0.34708831469340534,0.27072888546085616,0.06941766293868107,0.06594677979174701,2.290782876976475,1.0065561126108755,0.7288854608561512,2.1519475510991133,0.24296182028538374,12.39105283455457,0.5900501349787891,0.2082529888160432,1.041264944080216,3.8179714616274585,22.80370227535673,0.2776706517547243,0.034708831469340534,0.17354415734670267,0.0,23.671423062090245,11.627458542229078,3.193212495179329,15.445430003856538,2.1172387196297726,1.5966062475896645,1.041264944080216,2.984959506363286,1.3883532587736214,2.082529888160432,3.6097184728114153,0.38179714616274585,0.2776706517547243,0.06941766293868107,0.2776706517547243,0.971847281141535,2.3602005399151564,1.9089857308137292,2.4990358657925182,1.7701504049363672,,61.65505955725895,45.92002237136465,43.162313964760216,67.05300875827982,42.61350400082734,23.932721712538225,70.33214688153964,13.658118973447895,13.645919609419638,0.1191238524262987,,
